Person{height=208, weight=50, age=49}
Person{height=206, weight=50, age=73}
Person{height=174, weight=50, age=46}
Person{height=177, weight=50, age=20}
Person{height=164, weight=50, age=45}
Person{height=216, weight=51, age=44}
Person{height=171, weight=51, age=41}
Person{height=193, weight=51, age=22}
Person{height=208, weight=52, age=38}
Person{height=202, weight=52, age=71}
Person{height=207, weight=52, age=89}
Person{height=195, weight=52, age=58}
Person{height=169, weight=52, age=80}
Person{height=213, weight=53, age=34}
Person{height=162, weight=53, age=90}
Person{height=166, weight=53, age=75}
Person{height=191, weight=53, age=90}
Person{height=189, weight=54, age=22}
Person{height=177, weight=54, age=37}
Person{height=185, weight=54, age=89}
Person{height=167, weight=54, age=97}
Person{height=219, weight=54, age=85}
Person{height=180, weight=54, age=73}
Person{height=162, weight=54, age=56}
Person{height=207, weight=54, age=60}
Person{height=172, weight=54, age=50}
Person{height=213, weight=54, age=59}
Person{height=205, weight=54, age=56}
Person{height=189, weight=54, age=95}
Person{height=170, weight=55, age=92}
Person{height=200, weight=55, age=39}
Person{height=215, weight=55, age=54}
Person{height=215, weight=55, age=54}
Person{height=177, weight=55, age=29}
Person{height=206, weight=55, age=78}
Person{height=195, weight=55, age=39}
Person{height=172, weight=55, age=75}
Person{height=161, weight=56, age=78}
Person{height=193, weight=56, age=25}
Person{height=172, weight=56, age=96}
Person{height=190, weight=56, age=58}
Person{height=179, weight=56, age=67}
Person{height=189, weight=56, age=87}
Person{height=178, weight=56, age=32}
Person{height=167, weight=57, age=54}
Person{height=206, weight=57, age=86}
Person{height=165, weight=57, age=44}
Person{height=203, weight=57, age=99}
Person{height=174, weight=57, age=45}
Person{height=194, weight=57, age=87}
Person{height=161, weight=57, age=62}
Person{height=182, weight=57, age=98}
Person{height=207, weight=57, age=35}
Person{height=196, weight=57, age=94}
Person{height=211, weight=58, age=71}
Person{height=211, weight=58, age=50}
Person{height=173, weight=58, age=81}
Person{height=179, weight=58, age=65}
Person{height=197, weight=58, age=67}
Person{height=193, weight=58, age=56}
Person{height=192, weight=58, age=77}
Person{height=219, weight=58, age=76}
Person{height=169, weight=58, age=29}
Person{height=206, weight=59, age=44}
Person{height=186, weight=59, age=82}
Person{height=163, weight=59, age=54}
Person{height=185, weight=59, age=70}
Person{height=166, weight=59, age=98}
Person{height=179, weight=60, age=78}
Person{height=202, weight=60, age=76}
Person{height=203, weight=60, age=80}
Person{height=215, weight=60, age=96}
